Descricao,Preco,Classificacoes,Numero de avaliacoes,url do produto
Xiaomi Redmi Note 10 4GB+64GB Versão global Onyx Gray,"R$ 1.374,00",,,"https://www.amazon,com/Xiaomi-Redmi-Note-Vers%C3%A3o-global/dp/B08YFLGZB4/ref=sr_1_1?dchild=1&qid=1620070737&s=wireless&sr=1-1"
Xiaomi Redmi Note 9 128GB 4GB RAM - Versión Global - Midnight Grey,"R$ 1.324,90",,,"https://www.amazon,com/Xiaomi-Redmi-Note-128GB-4GB/dp/B088HJ3FCX/ref=sr_1_2?dchild=1&qid=1620070737&s=wireless&sr=1-2"
Celular Xiaomi Redmi 9 64GB/4GB Dual Chip - Carbon Grey,"R$ 1.009,00",,,"https://www.amazon,com/Celular-Xiaomi-Redmi-64GB-Dual/dp/B08B3QSVM6/ref=sr_1_3?dchild=1&qid=1620070737&s=wireless&sr=1-3"
Redmi Note 10 128GB 4GB RAM - Onyx Gray,"R$ 1.518,00",,,"https://www.amazon,com/Redmi-Note-128GB-4GB-RAM/dp/B08YFF6SZM/ref=sr_1_4?dchild=1&qid=1620070737&s=wireless&sr=1-4"
Celular Xiaomi Poco X3 6GB/128GB NFC - Shadow Grey,"R$ 1.958,00",,,"https://www.amazon,com/Celular-Xiaomi-Poco-6GB-128GB/dp/B08B9C149J/ref=sr_1_5?dchild=1&qid=1620070737&s=wireless&sr=1-5"
Xiaomi Redmi Note 10 4GB+128GB Versão global Onyx Grey,"R$ 1.530,10",,,"https://www.amazon,com/Xiaomi-Redmi-128GB-Vers%C3%A3o-global/dp/B0916479NC/ref=sr_1_6?dchild=1&qid=1620070737&s=wireless&sr=1-6"
Redmi note 10 128GB 4GB RAM - Peeble White,"R$ 1.589,00",,,"https://www.amazon,com/Redmi-note-128GB-4GB-RAM/dp/B091R4JDMG/ref=sr_1_7?dchild=1&qid=1620070737&s=wireless&sr=1-7"
Xiaomi Redmi Note 10 4GB+128GB Versão global Lake Green,"R$ 1.599,90",,,"https://www.amazon,com/Xiaomi-Redmi-128GB-Vers%C3%A3o-global/dp/B08ZMB9KFF/ref=sr_1_8?dchild=1&qid=1620070737&s=wireless&sr=1-8"
Smartphone Xiaomi Redmi 9 Dual Chip 64gb 4gb Sunset Purple,"R$ 1.079,49",,,"https://www.amazon,com/Smartphone-Xiaomi-Redmi-Sunset-Purple/dp/B08B3NVQ7V/ref=sr_1_9?dchild=1&qid=1620070737&s=wireless&sr=1-9"
Smartphone Xiaomi Redmi Note 9S - 4GB + 64GB - Versão Global - Cinza,"R$ 1.545,00",,,"https://www.amazon,com/Smartphone-Xiaomi-Redmi-Note-9S/dp/B085S4DSZH/ref=sr_1_10?dchild=1&qid=1620070737&s=wireless&sr=1-10"
